"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.55,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.771428571428571,0.36393725863646,0,0,0,1,0.27,0.33,0.6,0.45,0.105,0.55,0.406884832924468,0.0323478116470121,1,0.245633664463471,0.04102418863014,1,0.268771879479851,0.0432154341616284,0.991,0.896672687037042,0.0815449167251574,1,-0.538781792734673,0.0803207230815424,0.994,0.652511494539012,0.109697916675712,0.998,0.160508704204818,0.0495362902389592,0.878,-0.375866396680953,0.0927360370487363,0.97,0.0343812187485503,0.0449756924861449,0.0482078781849747,0.0872113520928339,0.0852009225382981,0.115752347505227,0.053403374338361,0.0959652429922968,0.106884832924468,-0.054366335536529,0.596672687037042,0.352511494539012,"sim","HC1","t",3,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.6,0.382374369999515,0,0,0,1,0.27,0.33,0.6,0.45,0.135,0.55,0.434906797228337,0.032020345814766,1,0.338294543937398,0.0410451359279068,0.999,0.16115596278876,0.0434155013423824,0.932,0.83187702279021,0.0645861190115695,0.999,-0.459082761281053,0.0639587524151963,0.999,0.760513093251661,0.0792567465623782,0.999,0.0675752191050226,0.0425575674174978,0.389,-0.423253119260283,0.0677131158448907,0.998,0.0320750787593719,0.0414768337443095,0.0478989812837491,0.0678286741092178,0.0653773649265485,0.0835148116608117,0.046028664559947,0.0696210723562233,0.134906797228337,0.0382945439373977,0.53187702279021,0.460513093251661,"sim","HC1","t",3,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.9,0.424593468409203,0,0,0,1,0.315,0.385,0.7,0.45,0.105,0.55,0.405439943893996,0.0324623774576655,1,0.136315906021112,0.043762826730681,0.857,0.38439378317874,0.0436424203074298,0.999,0.895831340127331,0.0813047680101538,0.999,-0.539798607540632,0.0799149855423767,0.996,0.325767296974147,0.13008121501021,0.719,0.318703879442611,0.0609429533487964,0.995,-0.157892686363572,0.102499554911659,0.378,0.0332987052581385,0.0459805065271976,0.0438948257186269,0.0857544882077453,0.0850672068894552,0.138669234504,0.0628221918745179,0.108025134467169,0.105439943893996,-0.163684093978888,0.595831340127331,0.0257672969741472,"sim","HC1","t",3,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.7,0.446103431666101,0,0,0,1,0.315,0.385,0.7,0.45,0.135,0.55,0.435237752642481,0.0323193852035982,0.999,0.270848602556583,0.0472582255737117,0.998,0.23417990618241,0.049359161757253,0.979,0.829857473731145,0.0653044022737222,0.999,-0.456664176337196,0.0642629527422012,0.998,0.693885309244052,0.0929021369443534,0.998,0.109823048793331,0.0516305280417456,0.602,-0.388362950044955,0.0722117983611717,0.994,0.0319253545890977,0.0465332668216945,0.0516015749746048,0.0699204878066478,0.0683355467646774,0.0979048932582387,0.0518582811296676,0.0777103430311069,0.135237752642481,-0.0291513974434168,0.529857473731145,0.393885309244052,"sim","HC1","t",3,1000,1000,314
0.55,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.8,0.509832493332687,0,0,0,1,0.36,0.44,0.8,0.45,0.135,0.55,0.43492638457316,0.0320938920221875,1,0.137185915741773,0.0544795693980626,0.72,0.37155654523233,0.0551007115102205,0.994,0.830536097141513,0.0651733819923797,1,-0.457749777430231,0.0644416978966093,0.997,0.525667684319732,0.113905316214979,0.981,0.215466587189569,0.0668322174351683,0.877,-0.304540630859963,0.0785982552573713,0.961,0.0322253649964298,0.0562225793521811,0.0577071139452191,0.0683066044857015,0.0660732748026185,0.12321338488694,0.0717764141355862,0.0828198369587158,0.13492638457316,-0.162814084258227,0.530536097141513,0.225667684319732,"sim","HC1","t",3,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.685714285714286,0.397022463967047,0,0,0,1,0.24,0.36,0.6,0.4,0.105,0.6,0.406194749621445,0.0324117080654851,1,0.269380510329524,0.041555069787838,0.998,0.227325625493494,0.0443225634362312,0.977,0.895079100947356,0.0814603542405961,1,-0.538394378258284,0.0803602611260148,0.997,0.726233944762141,0.10192645620748,1,0.124658945745958,0.046088824415423,0.768,-0.434871275928073,0.0876316918447627,0.985,0.0324406787413961,0.0452305582534399,0.0501005825382352,0.0850788554655124,0.0848809687168206,0.10872369653184,0.0507817539917606,0.0924914997711458,0.106194749621445,-0.0306194896704758,0.595079100947356,0.426233944762141,"sim","HC1","t",3,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.533333333333333,0.417135676363108,0,0,0,1,0.24,0.36,0.6,0.4,0.135,0.6,0.436079514243127,0.0320288560507295,1,0.359338315240858,0.0410360793334106,1,0.12782049600031,0.0429036430255208,0.825,0.833836960456784,0.0648893488551904,1,-0.460223137686539,0.0638730314170936,0.999,0.782883891725094,0.0765169920268176,1,0.0543296884605217,0.0415149703809119,0.297,-0.438889895089846,0.0659018352777641,0.999,0.0329412506288409,0.0447143188992024,0.0478263818857788,0.0687147910844223,0.0665699364778998,0.0834504941545072,0.04600080043636,0.0688040597928817,0.136079514243127,0.0593383152408583,0.533836960456784,0.482883891725094,"sim","HC1","t",3,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.8,0.463192874628222,0,0,0,1,0.28,0.42,0.7,0.4,0.105,0.6,0.40495482304073,0.0318936489261596,1,0.175907982212866,0.04502227334344,0.967,0.32720826872979,0.046168628745399,0.994,0.896150447466007,0.0805715940699143,1,-0.540794404697746,0.0797335549008833,0.996,0.558168865796391,0.116632500125907,0.99,0.213337299051945,0.0552832989394374,0.955,-0.332938229409862,0.0931823920740623,0.946,0.0335207173615489,0.0473954452348472,0.0483555446131385,0.0831669410987867,0.0805975636471136,0.121700047221821,0.0579460101727019,0.0949205451209596,0.10495482304073,-0.124092017787134,0.596150447466007,0.258168865796391,"sim","HC1","t",3,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.622222222222222,0.486658289090292,0,0,0,1,0.28,0.42,0.7,0.4,0.135,0.6,0.43471499786079,0.0321998795416368,1,0.302143655491856,0.0467444138816072,0.999,0.189481648735366,0.0487545357063147,0.954,0.83177508954225,0.0653303237576487,0.999,-0.459431409650388,0.0643268009881812,0.997,0.73607059413089,0.0853939164498368,1,0.0874346895415391,0.0485490302756285,0.467,-0.419279855490969,0.0680253721301909,0.998,0.0321020777618855,0.0472187904248012,0.0550198033882897,0.0695560753026524,0.066952502632108,0.0903987999342362,0.0546085504890495,0.0707615428510947,0.13471499786079,0.00214365549185647,0.53177508954225,0.43607059413089,"sim","HC1","t",3,1000,1000,314
0.6,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.711111111111111,0.556180901817477,0,0,0,1,0.32,0.48,0.8,0.4,0.135,0.6,0.433297797857813,0.0320872930370918,1,0.193220247842671,0.0552662707550593,0.928,0.300287639450439,0.0571460154525019,0.99,0.829760690186162,0.0649803268830721,1,-0.458514349851556,0.0639321740640084,0.997,0.63623892807841,0.0997193458914738,0.998,0.154609403334993,0.0604537383649872,0.734,-0.377390943728948,0.0705993552625428,0.998,0.032764401769619,0.0566467108976692,0.0588817579355144,0.0689065459519822,0.0667551517043508,0.105705566261114,0.0628367274740656,0.0734791373993299,0.133297797857813,-0.106779752157329,0.529760690186162,0.33623892807841,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.6,0.25,0.938245836551854,0.3,0.84,0.415669310543693,0,0,0,1,0.21,0.39,0.6,0.35,0.075,0.65,0.373956912201915,0.0320834215776054,1,0.178611224660478,0.0395421576617504,0.985,0.324763147236368,0.0408276583439487,0.996,0.941508174250999,0.103023324450866,1,-0.603056940878052,0.102097356850273,0.988,0.475372248322873,0.124916745789916,0.951,0.260861453571231,0.0482525569606483,0.988,-0.274495212908576,0.109548790925815,0.74,0.0320569722266284,0.0403283060537364,0.0441142242960539,0.117866672904118,0.114326585949978,0.133659623439272,0.0512697381975595,0.115550747597603,0.0739569122019152,-0.121388775339522,0.641508174250999,0.175372248322873,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.6,0.430107669297634,0,0,0,1,0.21,0.39,0.6,0.35,0.105,0.65,0.404380483615208,0.0321452359807814,1,0.291085603745412,0.0413911086585021,1,0.188664576482698,0.0440671143187048,0.976,0.894872181801232,0.0802945953552341,1,-0.539814219504439,0.0792702663504878,0.996,0.776792662068856,0.0966873747019601,0.999,0.0997770545941648,0.0441133283611663,0.632,-0.475685271159966,0.0837586877401468,0.994,0.0327750475997048,0.0442502945587528,0.0478920342968604,0.0854538100766261,0.0839762453329109,0.102370460566207,0.0462630797481033,0.087307969743192,0.104380483615208,-0.00891439625458845,0.594872181801232,0.476792662068856,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.466666666666667,0.4518969827267,0,0,0,1,0.21,0.39,0.6,0.35,0.135,0.65,0.4363691105038,0.0319328787618764,1,0.377950766643729,0.0406364719405138,1,0.0973593788399022,0.0418003844119294,0.669,0.829437045298784,0.0647657549313551,1,-0.455379086425998,0.0640962052107768,0.997,0.789471490813172,0.0733970038767535,1,0.0491187137117657,0.0405424314922423,0.254,-0.443119888806493,0.0646435158315187,0.997,0.0331325496256449,0.0417141028285147,0.0441769749678787,0.0696367965774148,0.0669145888494907,0.0774142002190768,0.0426315716731418,0.0667514688912298,0.1363691105038,0.0779507666437289,0.529437045298784,0.489471490813172,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.7,0.50179228084724,0,0,0,1,0.245,0.455,0.7,0.35,0.105,0.65,0.403859468825884,0.0325014011180738,1,0.211479311705407,0.0474989548979228,0.981,0.274326220017158,0.0497847677725524,0.982,0.89857481106767,0.0809708896371364,1,-0.544267952496569,0.0800375626710149,0.996,0.675782048302915,0.108068606904069,0.995,0.160342043063964,0.0526146287236298,0.847,-0.422680816858913,0.0874168913342643,0.98,0.0327351053045894,0.0488491747511597,0.0548868265228883,0.0843552916102359,0.0828204923424755,0.114935490632865,0.0565483001152139,0.0918414461267037,0.103859468825884,-0.0885206882945932,0.59857481106767,0.375782048302915,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.544444444444444,0.527213146514483,0,0,0,1,0.245,0.455,0.7,0.35,0.135,0.65,0.433741056828259,0.0324521549873246,1,0.334810591328529,0.0467937810885267,0.999,0.141124841776399,0.0480602265865108,0.832,0.831309932397727,0.0650181825257541,1,-0.45972858433032,0.0643306225328539,0.995,0.762942409811953,0.0799320467281061,0.999,0.0711166016652337,0.0466818690296261,0.346,-0.438235681062928,0.0657167750721451,0.995,0.0328629110809692,0.0496204071903476,0.0527982838157638,0.069058167198874,0.0684877899533706,0.0838088809547919,0.0497524884843319,0.0692290593493759,0.133741056828259,0.0348105913285293,0.531309932397727,0.462942409811953,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.8,0.35,0.90674969975976,0.3,0.8,0.573476892396846,0,0,0,1,0.28,0.52,0.8,0.35,0.105,0.65,0.404337242399728,0.032281957435253,0.999,0.0551296703905564,0.0530521827752974,0.191,0.436232971185832,0.0529298393345548,1,0.895580464542571,0.0808003969777657,0.999,-0.540683716051395,0.0797652498371116,0.994,0.379489486806545,0.126474040502724,0.835,0.32575151811539,0.0654650445225527,0.989,-0.259706534246722,0.0924704641285009,0.791,0.0329937563669328,0.0546810953424437,0.0537313967823138,0.08694573527964,0.0840062160399904,0.136981565689007,0.0694770960378833,0.0972366421105813,0.104337242399728,-0.244870329609444,0.595580464542571,0.0794894868065453,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.8,0.45,0.863028554974588,0.3,0.622222222222222,0.602529310302267,0,0,0,1,0.28,0.52,0.8,0.35,0.135,0.65,0.433772967134916,0.0321856353876682,1,0.249808718890676,0.056554958263702,0.975,0.229543963781547,0.0583140990243523,0.958,0.831428905664982,0.0656287051509066,0.999,-0.459930618519746,0.064888111593053,0.996,0.69875269541743,0.0927102143048066,0.999,0.120679827674412,0.0580295899860978,0.567,-0.418195913187487,0.0676905172394956,0.996,0.0329895583108356,0.0605034916369929,0.0632418117200448,0.0701754941979613,0.0687755384773359,0.100011828851511,0.0617951443508212,0.071300199902477,0.133772967134916,-0.0501912811093241,0.531428905664982,0.39875269541743,"sim","HC1","t",3,1000,1000,314
0.65,0.3,"D2_highRho_unequalA2",0.9,0.45,0.863028554974588,0.3,0.7,0.67784547409005,0,0,0,1,0.315,0.585,0.9,0.35,0.135,0.65,0.434732317059396,0.0321838642519782,1,0.00887032204576912,0.0762165530944356,0.054,0.472458245577341,0.0765494818311624,0.994,0.831084664280102,0.0654232568865215,1,-0.458781861342783,0.0648367588559351,0.998,0.476196296970511,0.119123887097017,0.954,0.287001680537459,0.0819517349894595,0.914,-0.34707769280898,0.0702667669396952,0.99,0.0328950375870143,0.0808595745324819,0.0804674815808368,0.0700338413350504,0.0678422504698492,0.12865110145898,0.0860163751448249,0.0728462075409641,0.134732317059396,-0.291129677954231,0.531084664280102,0.176196296970511,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.6,0.25,0.938245836551854,0.3,0.72,0.447643872893208,0,0,0,1,0.18,0.42,0.6,0.3,0.075,0.7,0.375070115190513,0.0322091477324114,1,0.21064553251753,0.0411870062101617,0.995,0.273150950324048,0.0436643156058916,0.991,0.938197997489122,0.103238129851557,0.999,-0.598612480667447,0.102433261316002,0.993,0.635411497112867,0.120354407746188,0.996,0.198146586498708,0.0469197312515243,0.96,-0.403433135466107,0.106316072287384,0.952,0.0320934578634928,0.0419986073550974,0.0471387981197069,0.112986096199148,0.111452830212824,0.131067234661962,0.0496766786521616,0.115210466487222,0.0750701151905126,-0.0893544674824698,0.638197997489122,0.335411497112867,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.514285714285714,0.463192874628222,0,0,0,1,0.18,0.42,0.6,0.3,0.105,0.7,0.405725660931348,0.032108008900623,0.999,0.315014165592078,0.0412259277614484,0.998,0.15117609182129,0.0431949368020272,0.928,0.894554041426188,0.0812575187781236,0.999,-0.538243176420326,0.0801243880405839,0.997,0.809695443434447,0.0924609601358721,0.998,0.0837994435064585,0.0422163164999274,0.515,-0.500061368313479,0.0817907418180473,0.997,0.0320469976951546,0.0418018356936787,0.0466866919289741,0.0888575150857917,0.0875909294644595,0.100004055962345,0.045073820000116,0.0887035004604463,0.105725660931348,0.0150141655920784,0.594554041426188,0.509695443434447,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.4,0.486658289090292,0,0,0,1,0.18,0.42,0.6,0.3,0.135,0.7,0.433939560812265,0.0318594364719373,1,0.395016692285958,0.0401714160757537,1,0.0648420019432314,0.0403735552603262,0.38,0.831297449467654,0.0647287976654113,1,-0.459571052742064,0.064122370834895,0.998,0.802889641188578,0.0711942456093869,1,0.0404218604452011,0.0393533333995967,0.201,-0.454728449130081,0.0640756874634602,0.999,0.032357360105077,0.0418301315242218,0.0430774485646745,0.0681901122596701,0.0656544144812238,0.0755724712948631,0.042217498628917,0.0653835879937591,0.133939560812265,0.0950166922859576,0.531297449467654,0.502889641188578,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.25,0.938245836551854,0.3,0.84,0.522251185042076,0,0,0,1,0.21,0.49,0.7,0.3,0.075,0.7,0.375509021503695,0.0323867007191461,1,0.102999769452487,0.044091409135272,0.663,0.389460697766713,0.0438968001674195,0.999,0.934870015005078,0.103194750801314,0.997,-0.594759632185865,0.102355612660297,0.986,0.341720795370371,0.127087527485758,0.767,0.333127744177705,0.0521021508361992,0.998,-0.212091241353195,0.107009522949013,0.552,0.033463146792523,0.0439341275321781,0.043382264426117,0.11905540256674,0.116272088358202,0.138672847462768,0.0528772924089727,0.11793396118686,0.0755090215036947,-0.197000230547513,0.634870015005078,0.041720795370371,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.35,0.90674969975976,0.3,0.6,0.540391687066259,0,0,0,1,0.21,0.49,0.7,0.3,0.105,0.7,0.402743575596326,0.0322467851866038,1,0.252694466190299,0.047230955393439,0.995,0.214382560023418,0.0494185794657932,0.974,0.892415283794031,0.0812152579165101,0.999,-0.538976467223396,0.080086964794521,0.995,0.748170816987694,0.100027129947428,0.997,0.121802793541989,0.0492138959188574,0.692,-0.473842378840747,0.0828381985027167,0.992,0.0330355638116646,0.0494148586095243,0.0536716930097572,0.0896425565485778,0.0861616407953902,0.109520883037653,0.0536400804640197,0.0882811145486948,0.102743575596326,-0.0473055338097011,0.592415283794031,0.448170816987694,"sim","HC1","t",3,1000,1000,314
0.7,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.466666666666667,0.567768003938674,0,0,0,1,0.21,0.49,0.7,0.3,0.135,0.7,0.434467196160649,0.0321218880312244,1,0.369190379268092,0.0455137780711186,0.999,0.0932124393317961,0.0458040727622101,0.539,0.829359588609202,0.064941435039461,1,-0.456763649099078,0.0642994512262905,0.997,0.780814777503853,0.0755650748605866,1,0.0591400325227015,0.044632177291405,0.273,-0.448449708648415,0.0642613603854075,0.997,0.0335833070717285,0.0495077676968822,0.0496085082100732,0.0672763656101084,0.0651074959959116,0.0795083314190387,0.0478269090085479,0.0646672333396043,0.134467196160649,0.0691903792680922,0.529359588609202,0.480814777503853,"sim","HC1","t",3,1000,1000,314
